Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Bahrain dinar   (BHD)                     ,Bolivar Fuerte   (VEF)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Hungarian forint   (HUF)                     ,Icelandic krona   (ISK)                     ,Indian rupee   (INR)                     ,Indonesian rupiah   (IDR)                     ,Iranian rial   (IRR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Kazakhstani tenge   (KZT)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Libyan dinar   (LYD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,Nepalese rupee   (NPR)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Pakistani rupee   (PKR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Sri Lankan rupee   (LKR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,Tunisian dinar   (TND)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     
2023-01-15,108.57899123717623,1.2538286592375698,0.376,9.977771226671363,10.648869672286159,3.278393546100297,1.358700119157442,1.276334016100884,652.5240449262419,6.795860741972137,2870.302482500529,24.48058499439278,6.300981995134494,0.8514583833955831,268.46607087450735,103.62404564857634,67.45907951444059,13259.472588220851,12260,3.5419915440084084,113.7653773477319,315.09556211168365,1086.706232198789,0.3055472025906324,1.9324,4.441878037970509,33.96207696117404,18.663440225713394,102.36855529270048,1.4287052546083812,8.560530974293815,0.3845,104.80358314438519,3.28311809829117,49.76067271794271,3.7749125492935134,3.64,59.37640053736058,3.75,1.3833524512546749,13.131529530955723,153.22932079143513,8.612919682923257,0.9735402812768306,35.38506076641953,6.7600728278317,2.4601285732029545,3.6725,0.7752485505019391,1,28.379864825890504
2023-01-18,109.8723,1.324152542,0.376,9.975,10.58201058,3.2094,1.419,1.3177,657.85,6.8451,2924.77,25.335,6.9731,0.937734434,287.91,112.58,67.9364,13328.0,12260,3.81,113.05,330.55,1180.9,0.305,1.9324,4.4455,35.8355,21.8514,108.74,1.387732445,8.4706,0.3845,104.8583,3.248,49.931,4.087,3.64,59.183,3.75,1.419,13.5895,150.1363,8.8962,1.0018,35.27,6.7341,2.31168,3.6725,0.814067079,1,28.618
2023-01-19,110.0779,1.329433661,0.376,9.975,10.59322034,3.2205,1.4274,1.3329,650.0,6.8707,2934.58,25.329,6.9704,0.937382827,288.99,113.11,68.1766,13376.0,12260,3.81,114.8,331.08,1130.4,0.30535,1.9324,4.288,35.8175,18.7464,108.8,1.404297149,8.4545,0.3845,104.8605,3.248,49.76,4.1014,3.64,59.3521,3.75,1.4274,13.6004,150.15,8.9411,1.0063,35.401,6.7327,2.449015,3.6725,0.811227387,1,28.6035
2023-01-20,110.14779939023275,1.3050103796944856,0.376,9.969549835831613,10.251522387310786,3.282746265842638,1.3829891657189624,1.2157482730713078,662.9587925806013,6.884945453176921,2936.7684126376953,25.290656051379315,6.231155769620333,0.9184140120445762,290.3336674017002,103.76196879393564,65.11076151541688,13312.440883058349,12260,3.605182448159871,113.87356955430957,331.5896765146742,1135.5947058709924,0.3053771021009231,1.9324,4.277775924524186,35.59326030870127,19.152576062988505,102.45910970572805,1.4652503304120128,8.517434136798329,0.3845,105.34993328903404,3.237588727186677,50.313127394283825,3.659628001819478,3.64,55.915049253196486,3.75,1.3584989959542901,13.733463410130799,150.0401623388853,8.468408367516304,0.9765310238625067,33.26715291355488,6.777300534770246,2.4748927386255968,3.6725,0.82431865375821,1,28.46720428035309
2023-01-21,115.29471928981363,1.3344427484998922,0.376,9.975709379271034,10.217165838436145,3.1552130599647774,1.3509490218719578,1.3135065970374646,645.6121565846606,6.843615162193999,2906.725639396497,21.99830863959385,6.491304008564101,0.9304067372864752,286.0455989056364,106.1726102863838,65.08961896909112,13318.62288751247,12260,3.606698186802049,109.30222176539013,315.4176827413528,1119.3691018602487,0.30306958445193527,1.9324,4.262000479309675,34.41366113338757,19.125172832699594,103.2683810978767,1.389795893705226,8.511033774353132,0.3845,104.94420772245194,3.2847266297282167,50.310176477057766,3.7177710203859347,3.64,56.97270125670763,3.75,1.3758504304492938,13.173890648620453,152.3844666323185,8.484623614084684,0.9810712656277425,35.31028805235554,6.74452131811357,2.2872195363269743,3.6725,0.758804917171604,1,28.348605725189703
2023-01-22,114.36375594588024,1.3303901528945354,0.376,9.971595880320459,10.525039274499111,3.14271048070152,1.4172646029487326,1.249573380849595,638.7209963932336,6.610849605925923,2867.2518949139776,25.257065506454552,7.013887520443971,0.8431540866824728,263.788394142427,108.97949161038248,68.02388043070829,13342.526026715323,12260,3.536028386700881,110.39279209824255,325.52798991280343,1123.3051358137604,0.30341522129918275,1.9324,4.080637127652416,35.45905762582239,17.517842724388203,103.32051815429202,1.3782951123236384,8.622962164176968,0.3845,105.24842100414187,3.2475973464702093,51.13971098634232,4.145274833647366,3.64,56.299188476073866,3.75,1.3551256038949475,13.416275619407482,152.7705338862813,8.471895709175582,1.0098518177203526,34.439902689016904,6.766207521872861,2.3294984130253584,3.6725,0.7942451735743727,1,28.359573400628726
2023-01-25,109.528,1.325732467,0.376,9.975,10.44932079,3.1643,1.4204,1.3075,653.84,6.8787,2932.01,25.144,6.9223,0.930838686,288.54,115.41,68.1556,13340.0,12260,3.786,113.5,327.86,1163.6,0.3049,1.9324,4.4385,35.679,21.3439,109.03,1.378549766,8.3266,0.3845,104.8643,3.275,49.81,4.0585,3.64,59.1489,3.75,1.4204,13.24615,150.15,8.8459,0.9985,35.256,6.7666,2.30377,3.6725,0.794975753,1,28.412
2023-01-26,109.705,1.3068479050000001,0.376,9.975,10.49317943,3.1679,1.4142,1.3104,650.98,6.8803,2927.53,25.252,6.9502,0.934579439,289.76,116.03,64.5459,13325.0,12260,3.783,113.36,328.28,1166.2,0.30475,1.9324,4.4355,35.6333,21.2024,109.03,1.370801919,8.3379,0.3845,104.8744,3.299,49.846,4.059,3.64,59.6356,3.75,1.4142,13.34625,150.2494,8.8192,0.9977,35.212,6.7731,2.30415,3.6725,0.794155019,1,28.308
2023-01-27,109.748,1.32837407,0.376,9.975,10.55966209,3.1798,1.4259,1.3108,648.31,6.794,2936.72,25.297,6.9627,0.936241925,291.57,116.51,68.2043,13359.0,12260,3.798,115.0,328.73,1130.4,0.30475,1.9324,4.4295,35.6071,21.0212,108.93,1.38026225,8.3503,0.3845,104.8624,3.248,49.695,4.0595,3.64,60.3196,3.75,1.4259,13.34395,150.25,8.8516,0.9996,35.311,6.7662,2.30841,3.6725,0.797861731,1,28.6035
2023-01-28,108.70371627828943,1.3070806692223866,0.376,9.96750111127414,10.488161686717831,3.173742443617315,1.3823037991373284,1.302704191670919,633.5055069985306,6.7571377221302695,2887.4602411113287,22.2291204497606,6.321671370382631,0.9429002623459697,271.5670554068237,104.15490690126876,68.20107773222637,13293.050640793455,12260,3.5239210236808214,111.39524151904166,311.7116775407896,1149.9910718799424,0.30143527481650456,1.9324,4.272568290136934,34.782301271535665,19.821508171937896,104.21091436630262,1.3568943308166759,8.471482786732933,0.3845,104.92412169450276,3.265667946201574,50.5161505816451,3.9906367578036925,3.64,60.20824341595602,3.75,1.3465092040317337,12.703498899350794,153.85133565928473,8.106351780291545,0.9735229885024783,33.125555174908804,6.72612781188429,2.3302963455551917,3.6725,0.7595209752941072,1,28.36412002209212
